Name|LAT|LON
"mytweetmark"|37.387474|-122.057543
"Love Lab®"|34.052234|-118.243685
"Social Rewards"|34.052234|-118.243685
"Hey Gorgeous!"|40.712784|-74.005941
"Symfonie P2P"|51.507351|-0.127758
"ComboTrip"|35.085334|-106.605553
"MarketMuse"|42.360083|-71.05888
"Power-Tags"|32.0853|34.781768
"Maker"|37.77493|-122.419416
"HomeKeepr"|40.058324|-74.405661
"LVX Elektronik A.Ş."|37.874643|32.493155
"Trio Custom Clothiers"|33.748995|-84.387982
"Guiddoo World"|25.204849|55.270783
"POLCO"|30.674364|-96.369963
"PlanDo"|22.396428|114.109497
"Elastera"|51.507351|-0.127758
"Gypsy Shack"|28.613939|77.209021
"Divisible Domain"|42.331427|-83.045754
"Patient-Help"|12.971599|77.594563
"TENDERWEEK.com"|41.299496|69.240073
"Sensentia "|37.77493|-122.419416
"GeoMoby"|-31.953513|115.857047
"Medigram"|37.385218|-122.11413
"Search in MENA"|37.77493|-122.419416
"ThynkWare Innovation"|37.386052|-122.083851
"MyCity"|60.173324|24.941025
"Birdzi"|40.575382|-74.32237
"Menuat"|29.901244|-81.312434
"HAKU"|34.090009|-118.361744
"Osblue"|38.894279|-77.431099
"ProTenders"|45.501689|-73.567256
"BondIt"|34.07362|-118.400356
"Phin & Phebes Ice Cream"|40.712784|-74.005941
"Skimo TV"|37.387474|-122.057543
"Pet Wireless"|32.715738|-117.161084
"Lowdown"|51.507351|-0.127758
"SEAL Innovation"|35.77959|-78.638179
"CamFind"|34.052234|-118.243685
"Orkiv "|42.360083|-71.05888
"Stellar Research"|33.448377|-112.074037
"Color Talking"|23.684994|90.356331
"Aqua Design Innovations (ADI Ventures)"|32.715738|-117.161084
"Vamos - The Event Guide"|52.520007|13.404954
"Join2Link"|36.204824|138.252924
"BookedWith"|33.567684|-117.725608
"KEOIS"|33.717471|-117.831143
"CREATE.IT"|34.052234|-118.243685
"HomeTrackr"|32.776475|-79.931051
"The Cherry Share"|37.36883|-122.03635
"UberOnTime.com"|34.052234|-118.243685
"SKARA - The Blade Remains"|51.507351|-0.127758
"Top Flight Technologies"|42.360083|-71.05888
"Textbook Sharing System"|20.111912|77.131259
"TonPsy"|43.604652|1.444209
"BlueOtter"|40.440625|-79.995886
"CashBet"|37.77493|-122.419416
"Hexagon Lavish"|33.748995|-84.387982
"dondeEsta"|42.360083|-71.05888
"SkillGravity"|37.77493|-122.419416
"School Scout"|37.354108|-121.955236
"startbuy"|4.710989|-74.072092
"Well Beyond Care"|30.267153|-97.743061
"Avenueplanet "|25.76168|-80.19179
"Worthworm"|33.49417|-111.926052
"Revue Labs"|34.052234|-118.243685
"Planemo Studio"|27.751828|-82.626734
"anchor.travel"|55.755826|37.6173
"Yo! app : Be Social At Local"|18.52043|73.856744
"SeeIn Systems"|37.338208|-121.886329
"Alminder"|37.441883|-122.143019
"VoidBrains"|38.910833|-75.52767
"Alienplay Games"|32.715738|-117.161084
"Digital Perception"|53.349805|-6.26031
"QuantQ3"|51.507351|-0.127758
"Mobile Muse Apps"|40.760779|-111.891047
"FarmUp"|23.634501|-102.552784
"COMPRANDOFACIL"|6.253041|-75.564574
"StoreGenie "|44.977753|-93.265011
"ivory sands safari & beach lodges"|-25.475298|30.969416
"VastyData"|53.408371|-2.991573
"Dockerize.It"|40.416775|-3.70379
"Picotek"|42.373616|-71.109733
"Pay2Africa"|47.60621|-122.332071
"Restaurant Nyonya Suan"|4.210484|101.975766
"Vine World"|36.169941|-115.13983
"Cokonnect"|64.126521|-21.817439
"ADAD"|38.559772|68.787038
